grafana  | logger=featuremgmt t=2026-04-05T18:40:33.669561648Z level=info msg=FeatureToggles improvedExternalSessionHandlingSAML=true kubernetesDashboards=true improvedExternalSessionHandling=true alertingNotificationsStepMode=true preventPanelChromeOverflow=true alertingRuleVersionHistoryRestore=true alertingUseNewSimplifiedRoutingHashAlgorithm=true annotationPermissionUpdate=true dashboardScene=true enableSCIM=true grafanaAssistantInProfilesDrilldown=true alertingSaveStateCompressed=true cloudWatchCrossAccountQuerying=true grafanaconThemes=true logsPanelControls=true publicDashboardsScene=true lokiQuerySplitting=true alertRuleRestore=true dashgpt=true alertingUIOptimizeReducer=true prometheusAzureOverrideAudience=true awsAsyncQueryCaching=true alertingQueryAndExpressionsStepMode=true azureMonitorEnableUserAuth=true awsDatasourcesTempCredentials=true alertingMigrationUI=true lokiLabelNamesQueryApi=true alertingImportYAMLUI=true azureResourcePickerUpdates=true newTimeRangeZoomShortcuts=true sharingDashboardImage=true useSessionStorageForRedirection=true alertingBulkActionsInUI=true timeRangePan=true cloudWatchNewLabelParsing=true cloudWatchRoundUpEndTime=true newFiltersUI=true newPanelPadding=true logsExploreTableVisualisation=true alertingRuleRecoverDeleted=true newLogsPanel=true onlyStoreActionSets=true logsContextDatasourceUi=true influxdbBackendMigration=true alertingRulePermanentlyDelete=true azureMonitorPrometheusExemplars=true
grafana  | logger=sqlstore t=2026-04-05T18:40:33.669741594Z level=info msg="Connecting to DB" dbtype=sqlite3
grafana  | logger=sqlstore t=2026-04-05T18:40:33.669754377Z level=info msg="Using SQLite driver" driver="mattn/go-sqlite3 (CGO enabled)"
grafana  | logger=migrator t=2026-04-05T18:40:33.688474759Z level=info msg="Locking database"
grafana  | logger=migrator t=2026-04-05T18:40:33.688884604Z level=info msg="Starting DB migrations"
grafana  | logger=migrator t=2026-04-05T18:40:33.736165591Z level=info msg="migrations completed" performed=0 skipped=710 duration=1.706454ms
grafana  | logger=migrator t=2026-04-05T18:40:33.737734117Z level=info msg="Unlocking database"
grafana  | logger=secrets t=2026-04-05T18:40:33.739318489Z level=info msg="Envelope encryption state" currentprovider=secretKey.v1
grafana  | logger=plugin.angulardetectorsprovider.dynamic t=2026-04-05T18:40:33.993102045Z level=info msg="Restored cache from database" duration=990.462µs
grafana  | logger=accesscontrol.service t=2026-04-05T18:40:33.997832522Z level=info msg="Starting migration to remove deprecated permissions" migration=removeDeprecatedPermissions
grafana  | logger=accesscontrol.service t=2026-04-05T18:40:34.001216885Z level=info msg="Completed migration to remove deprecated permissions" migration=removeDeprecatedPermissions totalRemoved=0 duration=3.386388ms
grafana  | logger=plugin.store t=2026-04-05T18:40:34.003013128Z level=info msg="Loading plugins..."
grafana  | logger=plugins.registration t=2026-04-05T18:40:34.282729393Z level=info msg="Plugin registered" pluginId=grafana-exploretraces-app
grafana  | logger=plugins.registration t=2026-04-05T18:40:34.575236985Z level=info msg="Plugin registered" pluginId=grafana-lokiexplore-app
grafana  | logger=plugins.registration t=2026-04-05T18:40:34.754084342Z level=info msg="Plugin registered" pluginId=grafana-metricsdrilldown-app
grafana  | logger=plugins.registration t=2026-04-05T18:40:34.92129697Z level=info msg="Plugin registered" pluginId=grafana-pyroscope-app
grafana  | logger=plugin.store t=2026-04-05T18:40:34.921380189Z level=info msg="Plugins loaded" count=57 duration=918.370792ms
grafana  | logger=secret-migrator t=2026-04-05T18:40:34.923764236Z level=info msg="Locking database"
grafana  | logger=secret-migrator t=2026-04-05T18:40:34.923806971Z level=info msg="Starting DB migrations"
grafana  | logger=secret-migrator t=2026-04-05T18:40:34.926654821Z level=info msg="migrations completed" performed=0 skipped=33 duration=110.773µs
grafana  | logger=secret-migrator t=2026-04-05T18:40:34.928003022Z level=info msg="Unlocking database"
grafana  | logger=resource-db t=2026-04-05T18:40:34.930683595Z level=info msg="Using database section" db_type=sqlite3
grafana  | logger=resource-db t=2026-04-05T18:40:34.931593511Z level=info msg="Initializing Resource DB" db_type=sqlite3 open_conn=0 in_use_conn=0 idle_conn=0 max_open_conn=0
grafana  | logger=resource-migrator t=2026-04-05T18:40:34.948905988Z level=info msg="Locking database"
grafana  | logger=resource-migrator t=2026-04-05T18:40:34.949230238Z level=info msg="Starting DB migrations"
grafana  | logger=resource-migrator t=2026-04-05T18:40:34.976687225Z level=info msg="migrations completed" performed=0 skipped=41 duration=152.855µs
grafana  | logger=resource-migrator t=2026-04-05T18:40:34.979993235Z level=info msg="Unlocking database"
grafana  | t=2026-04-05T18:40:34.981136499Z level=info caller=logger.go:214 time=2026-04-05T18:40:34.981044067Z msg="Using channel notifier" logger=sql-resource-server
grafana  | logger=resource-search t=2026-04-05T18:40:34.983144723Z level=info msg="search index initialized" duration_secs=0 total_docs=0
grafana  | logger=storage.unified.migrations t=2026-04-05T18:40:34.997552173Z level=info msg="Running migrations for unified storage"
grafana  | logger=storage.unified.migrations t=2026-04-05T18:40:34.999251233Z level=info msg="Auto-migration already completed, enabling mode 5 for resources" migration=folders-dashboards
grafana  | logger=storage.unified.migrations t=2026-04-05T18:40:34.999457678Z level=info msg="Migration is disabled in config, skipping" migration=shorturls
grafana  | logger=unifiedstorage-migrator t=2026-04-05T18:40:34.999826987Z level=info msg="Locking database"
grafana  | logger=unifiedstorage-migrator t=2026-04-05T18:40:35.000013004Z level=info msg="Starting DB migrations"
grafana  | logger=unifiedstorage-migrator t=2026-04-05T18:40:35.002714535Z level=info msg="migrations completed" performed=0 skipped=3 duration=58.456µs
grafana  | logger=unifiedstorage-migrator t=2026-04-05T18:40:35.005392391Z level=info msg="Unlocking database"
grafana  | logger=storage.unified.migrations t=2026-04-05T18:40:35.005966051Z level=info msg="Unified storage migrations completed successfully"
grafana  | logger=annotations t=2026-04-05T18:40:35.040201107Z level=info msg="Starting annotation dashboard_uid migration in background"
grafana  | logger=annotations t=2026-04-05T18:40:35.040568732Z level=info msg="Starting batched dashboard_uid migration for annotations (newest first)" batchSize=5000
grafana  | logger=annotations t=2026-04-05T18:40:35.043079033Z level=info msg="Completed dashboard_uid migration for annotations" totalUpdated=0
grafana  | logger=annotations t=2026-04-05T18:40:35.043339124Z level=info msg="Annotation dashboard_uid migration completed successfully"
grafana  | logger=live.push_http t=2026-04-05T18:40:35.062532628Z level=info msg="Live Push Gateway initialization"
grafana  | logger=ngalert.notifier t=2026-04-05T18:40:35.066758631Z level=info component=alertmanager orgID=1 msg="template definitions loaded" mimir=0 grafana=0 total=0 maxTemplateOutput=10485760
grafana  | logger=ngalert.notifier component=alertmanager orgID=1 t=2026-04-05T18:40:35.070885743Z level=info msg="Applying new configuration to Alertmanager" configHash=166dbc8552660bc83256def4ec6c992d
grafana  | logger=ngalert.notifier t=2026-04-05T18:40:35.071000028Z level=info component=alertmanager orgID=1 msg="template definitions loaded" mimir=0 grafana=0 total=0 maxTemplateOutput=10485760
grafana  | logger=ngalert.writer t=2026-04-05T18:40:35.084660473Z level=info msg="Setting up remote write using data sources" timeout=30s default_datasource_uid=
grafana  | logger=ngalert t=2026-04-05T18:40:35.085424096Z level=info msg="Using protobuf-based alert instance store"
grafana  | logger=ngalert.state.manager.persist t=2026-04-05T18:40:35.085853196Z level=info msg="Using sync rule state persister (compressed)"
grafana  | logger=query_data t=2026-04-05T18:40:35.089659157Z level=info msg="Query Service initialization"
grafana  | logger=infra.usagestats.collector t=2026-04-05T18:40:35.096928612Z level=info msg="registering usage stat providers" usageStatsProvidersLen=2
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:35.224335753Z level=info msg=starting module=tracing
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-05T18:40:35.224813878Z level=info msg=starting module=grafana-apiserver
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.680879577Z level=info msg="Adding GroupVersion features.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.688794849Z level=info msg="Adding GroupVersion dashboard.grafana.app v1beta1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.690042613Z level=info msg="Adding GroupVersion dashboard.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.691201307Z level=info msg="Adding GroupVersion dashboard.grafana.app v2beta1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.692408256Z level=info msg="Adding GroupVersion dashboard.grafana.app v2alpha1 to ResourceManager"
grafana  | t=2026-04-05T18:40:35.692885576Z level=info caller=logger.go:214 time=2026-04-05T18:40:35.692869325Z msg="Zanzana is not enabled; skipping folder propagation hooks"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.694665413Z level=info msg="Adding GroupVersion folder.grafana.app v1beta1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.700017016Z level=info msg="Adding GroupVersion iam.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.701565283Z level=info msg="Adding GroupVersion userstorage.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.702785527Z level=info msg="Adding GroupVersion preferences.grafana.app v1alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.704152993Z level=info msg="Adding GroupVersion collections.grafana.app v1alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.706415963Z level=info msg="Adding GroupVersion playlist.grafana.app v1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.708323122Z level=info msg="Adding GroupVersion playlist.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-05T18:40:35.70851059Z level=info caller=logger.go:214 time=2026-04-05T18:40:35.708496257Z msg="Installed APIs for app" app=playlist
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.711011416Z level=info msg="Adding GroupVersion plugins.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-05T18:40:35.711188837Z level=info caller=logger.go:214 time=2026-04-05T18:40:35.711173717Z msg="Installed APIs for app" app=plugins
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.713305148Z level=info msg="Adding GroupVersion example.grafana.app v1alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.714681054Z level=info msg="Adding GroupVersion example.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-05T18:40:35.715123703Z level=info caller=logger.go:214 time=2026-04-05T18:40:35.715109509Z msg="Installed APIs for app" app=example
grafana  | logger=grafana-apiserver t=2026-04-05T18:40:35.718840542Z level=info msg="Adding GroupVersion notifications.alerting.grafana.app v0alpha1 to ResourceManager"
grafana  | t=2026-04-05T18:40:35.719372576Z level=info caller=logger.go:214 time=2026-04-05T18:40:35.719065618Z msg="Installed APIs for app" app=alerting-notifications
grafana  | t=2026-04-05T18:40:36.546888083Z level=info caller=logger.go:214 time=2026-04-05T18:40:36.546827426Z msg="App initialized" app=playlist
