grafana  | logger=settings t=2026-04-23T19:59:42.848742072Z level=info msg="Path Data" path=/var/lib/grafana
grafana  | logger=settings t=2026-04-23T19:59:42.84890719Z level=info msg="Path Logs" path=/var/log/grafana
grafana  | logger=settings t=2026-04-23T19:59:42.849022524Z level=info msg="Path Plugins" path=/var/lib/grafana/plugins
grafana  | logger=settings t=2026-04-23T19:59:42.84930226Z level=info msg="Path Provisioning" path=/etc/grafana/provisioning
grafana  | logger=settings t=2026-04-23T19:59:42.849615217Z level=info msg="App mode production"
grafana  | logger=featuremgmt t=2026-04-23T19:59:42.851717164Z level=info msg=FeatureToggles alertingRulePermanentlyDelete=true alertingRuleRecoverDeleted=true logsPanelControls=true useSessionStorageForRedirection=true lokiQuerySplitting=true newPanelPadding=true newTimeRangeZoomShortcuts=true prometheusAzureOverrideAudience=true azureResourcePickerUpdates=true lokiLabelNamesQueryApi=true kubernetesDashboards=true enableSCIM=true dashboardScene=true grafanaAssistantInProfilesDrilldown=true influxdbBackendMigration=true cloudWatchRoundUpEndTime=true alertingImportYAMLUI=true alertRuleRestore=true cloudWatchNewLabelParsing=true alertingSaveStateCompressed=true improvedExternalSessionHandling=true alertingNotificationsStepMode=true timeRangePan=true alertingRuleVersionHistoryRestore=true alertingMigrationUI=true sharingDashboardImage=true azureMonitorEnableUserAuth=true logsExploreTableVisualisation=true alertingBulkActionsInUI=true dashgpt=true alertingUseNewSimplifiedRoutingHashAlgorithm=true alertingUIOptimizeReducer=true onlyStoreActionSets=true logsContextDatasourceUi=true awsDatasourcesTempCredentials=true improvedExternalSessionHandlingSAML=true cloudWatchCrossAccountQuerying=true azureMonitorPrometheusExemplars=true newFiltersUI=true grafanaconThemes=true preventPanelChromeOverflow=true alertingQueryAndExpressionsStepMode=true publicDashboardsScene=true newLogsPanel=true annotationPermissionUpdate=true awsAsyncQueryCaching=true
grafana  | logger=sqlstore t=2026-04-23T19:59:42.852275088Z level=info msg="Connecting to DB" dbtype=sqlite3
grafana  | logger=sqlstore t=2026-04-23T19:59:42.852489594Z level=info msg="Using SQLite driver" driver="mattn/go-sqlite3 (CGO enabled)"
grafana  | logger=migrator t=2026-04-23T19:59:42.868164848Z level=info msg="Locking database"
grafana  | logger=migrator t=2026-04-23T19:59:42.868518001Z level=info msg="Starting DB migrations"
grafana  | logger=migrator t=2026-04-23T19:59:42.899252512Z level=info msg="migrations completed" performed=0 skipped=710 duration=1.416986ms
grafana  | logger=migrator t=2026-04-23T19:59:42.900373225Z level=info msg="Unlocking database"
grafana  | logger=secrets t=2026-04-23T19:59:42.901295267Z level=info msg="Envelope encryption state" currentprovider=secretKey.v1
grafana  | logger=plugin.angulardetectorsprovider.dynamic t=2026-04-23T19:59:43.075944725Z level=info msg="Restored cache from database" duration=762.048µs
grafana  | logger=accesscontrol.service t=2026-04-23T19:59:43.081639711Z level=info msg="Starting migration to remove deprecated permissions" migration=removeDeprecatedPermissions
grafana  | logger=accesscontrol.service t=2026-04-23T19:59:43.08388774Z level=info msg="Completed migration to remove deprecated permissions" migration=removeDeprecatedPermissions totalRemoved=0 duration=2.248959ms
grafana  | logger=plugin.store t=2026-04-23T19:59:43.084659111Z level=info msg="Loading plugins..."
grafana  | logger=plugins.registration t=2026-04-23T19:59:43.401712784Z level=info msg="Plugin registered" pluginId=grafana-exploretraces-app
grafana  | logger=plugins.registration t=2026-04-23T19:59:43.738629224Z level=info msg="Plugin registered" pluginId=grafana-lokiexplore-app
grafana  | logger=plugins.registration t=2026-04-23T19:59:43.908335409Z level=info msg="Plugin registered" pluginId=grafana-metricsdrilldown-app
grafana  | logger=plugins.registration t=2026-04-23T19:59:44.072740972Z level=info msg="Plugin registered" pluginId=grafana-pyroscope-app
grafana  | logger=plugin.store t=2026-04-23T19:59:44.072809688Z level=info msg="Plugins loaded" count=57 duration=1.011054786s
grafana  | logger=secret-migrator t=2026-04-23T19:59:44.074836919Z level=info msg="Locking database"
grafana  | logger=secret-migrator t=2026-04-23T19:59:44.074882095Z level=info msg="Starting DB migrations"
grafana  | logger=secret-migrator t=2026-04-23T19:59:44.076244498Z level=info msg="migrations completed" performed=0 skipped=33 duration=56.537µs
grafana  | logger=secret-migrator t=2026-04-23T19:59:44.076915528Z level=info msg="Unlocking database"
grafana  | logger=resource-db t=2026-04-23T19:59:44.078617419Z level=info msg="Using database section" db_type=sqlite3
grafana  | logger=resource-db t=2026-04-23T19:59:44.078891255Z level=info msg="Initializing Resource DB" db_type=sqlite3 open_conn=0 in_use_conn=0 idle_conn=0 max_open_conn=0
grafana  | logger=resource-migrator t=2026-04-23T19:59:44.089381349Z level=info msg="Locking database"
grafana  | logger=resource-migrator t=2026-04-23T19:59:44.089416942Z level=info msg="Starting DB migrations"
grafana  | logger=resource-migrator t=2026-04-23T19:59:44.10069262Z level=info msg="migrations completed" performed=0 skipped=41 duration=70.556µs
grafana  | logger=resource-migrator t=2026-04-23T19:59:44.101351915Z level=info msg="Unlocking database"
grafana  | t=2026-04-23T19:59:44.101799494Z level=info caller=logger.go:214 time=2026-04-23T19:59:44.101740969Z msg="Using channel notifier" logger=sql-resource-server
grafana  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=2 reason=init t=2026-04-23T19:59:44.10342872Z level=info msg="Building index using memory"
grafana  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=2 reason=init t=2026-04-23T19:59:44.116446898Z level=info msg="Finished building index" elapsed=12.913127ms listRV=1776973943087988
grafana  | logger=bleve-backend namespace=default group=dashboard.grafana.app resource=dashboards size=2 reason=init t=2026-04-23T19:59:44.116896341Z level=info msg="Storing index in cache" key="{Namespace:default Group:dashboard.grafana.app Resource:dashboards}" expiration=2026-04-23T20:09:44.11689227Z
grafana  | logger=resource-search t=2026-04-23T19:59:44.117189264Z level=info msg="search index initialized" duration_secs=0 total_docs=2
grafana  | logger=storage.unified.migrations t=2026-04-23T19:59:44.131327247Z level=info msg="Running migrations for unified storage"
grafana  | logger=storage.unified.migrations t=2026-04-23T19:59:44.132175799Z level=info msg="Auto-migration already completed, enabling mode 5 for resources" migration=folders-dashboards
grafana  | logger=storage.unified.migrations t=2026-04-23T19:59:44.132457592Z level=info msg="Migration is disabled in config, skipping" migration=shorturls
grafana  | logger=unifiedstorage-migrator t=2026-04-23T19:59:44.132731015Z level=info msg="Locking database"
grafana  | logger=unifiedstorage-migrator t=2026-04-23T19:59:44.132898615Z level=info msg="Starting DB migrations"
grafana  | logger=unifiedstorage-migrator t=2026-04-23T19:59:44.133827623Z level=info msg="migrations completed" performed=0 skipped=3 duration=20.634µs
grafana  | logger=unifiedstorage-migrator t=2026-04-23T19:59:44.134629868Z level=info msg="Unlocking database"
grafana  | logger=storage.unified.migrations t=2026-04-23T19:59:44.13484518Z level=info msg="Unified storage migrations completed successfully"
grafana  | logger=annotations t=2026-04-23T19:59:44.138689125Z level=info msg="Starting annotation dashboard_uid migration in background"
grafana  | logger=annotations t=2026-04-23T19:59:44.13874067Z level=info msg="Starting batched dashboard_uid migration for annotations (newest first)" batchSize=5000
grafana  | logger=annotations t=2026-04-23T19:59:44.141132872Z level=info msg="Completed dashboard_uid migration for annotations" totalUpdated=0
grafana  | logger=annotations t=2026-04-23T19:59:44.141182005Z level=info msg="Annotation dashboard_uid migration completed successfully"
grafana  | logger=live.push_http t=2026-04-23T19:59:44.157680256Z level=info msg="Live Push Gateway initialization"
grafana  | logger=ngalert.notifier t=2026-04-23T19:59:44.162224595Z level=info component=alertmanager orgID=1 msg="template definitions loaded" mimir=0 grafana=0 total=0 maxTemplateOutput=10485760
grafana  | logger=ngalert.notifier component=alertmanager orgID=1 t=2026-04-23T19:59:44.166521486Z level=info msg="Applying new configuration to Alertmanager" configHash=166dbc8552660bc83256def4ec6c992d
grafana  | logger=ngalert.notifier t=2026-04-23T19:59:44.166572425Z level=info component=alertmanager orgID=1 msg="template definitions loaded" mimir=0 grafana=0 total=0 maxTemplateOutput=10485760
grafana  | logger=ngalert.writer t=2026-04-23T19:59:44.1764652Z level=info msg="Setting up remote write using data sources" timeout=30s default_datasource_uid=
grafana  | logger=ngalert t=2026-04-23T19:59:44.177011796Z level=info msg="Using protobuf-based alert instance store"
grafana  | logger=ngalert.state.manager.persist t=2026-04-23T19:59:44.177142215Z level=info msg="Using sync rule state persister (compressed)"
grafana  | logger=query_data t=2026-04-23T19:59:44.180850479Z level=info msg="Query Service initialization"
grafana  | logger=infra.usagestats.collector t=2026-04-23T19:59:44.186755313Z level=info msg="registering usage stat providers" usageStatsProvidersLen=2
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:44.267869594Z level=info msg=starting module=tracing
grafana  | logger=backgroundsvcs.managerAdapter t=2026-04-23T19:59:44.268250124Z level=info msg=starting module=grafana-apiserver
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.838623734Z level=info msg="Adding GroupVersion iam.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.840270704Z level=info msg="Adding GroupVersion userstorage.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.841260637Z level=info msg="Adding GroupVersion preferences.grafana.app v1alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.843015093Z level=info msg="Adding GroupVersion collections.grafana.app v1alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.843461573Z level=info msg="Adding GroupVersion features.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.84951936Z level=info msg="Adding GroupVersion dashboard.grafana.app v1beta1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.850429805Z level=info msg="Adding GroupVersion dashboard.grafana.app v0alpha1 to ResourceManager"
grafana  | logger=grafana-apiserver t=2026-04-23T19:59:44.851016181Z level=info msg="Adding GroupVersion dashboard.grafana.app v2beta1 to ResourceManager"
