alertmanager  | time=2026-04-11T20:01:20.005Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:01:20.052Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:01:20.059Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:01:20.060Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=54.189263ms
alertmanager  | time=2026-04-11T20:01:22.456Z level=INFO source=main.go:190 msg="Starting Alertmanager" version="(version=0.30.1, branch=HEAD, revision=0ded3cbb049256f9ebe5c269020a6c883e17b78f)"
alertmanager  | time=2026-04-11T20:01:22.457Z level=INFO source=main.go:193 msg="Build context" build_context="(go=go1.25.5, platform=linux/amd64, user=root@4d7d922bb2be, date=20260112-23:18:41, tags=netgo)"
alertmanager  | time=2026-04-11T20:01:22.458Z level=INFO source=cluster.go:192 msg="setting advertise address explicitly" component=cluster addr=172.19.0.5 port=9094
alertmanager  | time=2026-04-11T20:01:22.478Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:01:22.673Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:01:22.698Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:01:22.702Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=223.876737ms
alertmanager  | time=2026-04-11T20:01:26.423Z level=INFO source=main.go:190 msg="Starting Alertmanager" version="(version=0.30.1, branch=HEAD, revision=0ded3cbb049256f9ebe5c269020a6c883e17b78f)"
alertmanager  | time=2026-04-11T20:01:26.423Z level=INFO source=main.go:193 msg="Build context" build_context="(go=go1.25.5, platform=linux/amd64, user=root@4d7d922bb2be, date=20260112-23:18:41, tags=netgo)"
alertmanager  | time=2026-04-11T20:01:26.432Z level=INFO source=cluster.go:192 msg="setting advertise address explicitly" component=cluster addr=172.19.0.5 port=9094
alertmanager  | time=2026-04-11T20:01:26.449Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:01:26.495Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:01:26.502Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:01:26.503Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=53.934007ms
alertmanager  | time=2026-04-11T20:01:33.491Z level=INFO source=main.go:190 msg="Starting Alertmanager" version="(version=0.30.1, branch=HEAD, revision=0ded3cbb049256f9ebe5c269020a6c883e17b78f)"
alertmanager  | time=2026-04-11T20:01:33.492Z level=INFO source=main.go:193 msg="Build context" build_context="(go=go1.25.5, platform=linux/amd64, user=root@4d7d922bb2be, date=20260112-23:18:41, tags=netgo)"
alertmanager  | time=2026-04-11T20:01:33.493Z level=INFO source=cluster.go:192 msg="setting advertise address explicitly" component=cluster addr=172.19.0.5 port=9094
alertmanager  | time=2026-04-11T20:01:33.500Z level=INFO source=cluster.go:682 msg="Waiting for gossip to settle..." component=cluster interval=2s
alertmanager  | time=2026-04-11T20:01:33.553Z level=INFO source=coordinator.go:111 msg="Loading configuration file" component=configuration file=/etc/alertmanager/alertmanager.yml
alertmanager  | time=2026-04-11T20:01:33.557Z level=ERROR source=coordinator.go:116 msg="Loading configuration file failed" component=configuration file=/etc/alertmanager/alertmanager.yml err="yaml: line 2: mapping values are not allowed in this context"
alertmanager  | time=2026-04-11T20:01:33.558Z level=INFO source=cluster.go:691 msg="gossip not settled but continuing anyway" component=cluster polls=0 elapsed=57.88786ms
